X1	X2	sign
YHR206W	YBR158W	NA
YHR206W	YCR073C	NA
YHR206W	YCR073WA	NA
YHR206W	YDL049C	NA
YHR206W	YDR042C	NA
YHR206W	YDR043C	NA
YHR206W	YDR044W	NA
YHR206W	YDR155C	NA
YHR206W	YDR156W	NA
YHR206W	YDR309C	NA
YHR206W	YDR524CB	NA
YHR206W	YDR524C	NA
YHR206W	YDR524WA	NA
YHR206W	YDR525WA	NA
YHR206W	YDR527W	NA
YHR206W	YEL001C	NA
YHR206W	YER001W	NA
YHR206W	YER010C	NA
YHR206W	YER011W	NA
YHR206W	YER149C	NA
YHR206W	YER150W	NA
YHR206W	YER153C	NA
YHR206W	YER154W	NA
YHR206W	YGL006WA	NA
YHR206W	YGL006W	NA
YHR206W	YGL007CA	NA
YHR206W	YGL008C	NA
YHR206W	YGL038C	NA
YHR206W	YGL055W	NA
YHR206W	YGL056C	NA
YHR206W	YGR014W	NA
YHR206W	YGR052W	NA
YHR206W	YGR086C	NA
YHR206W	YGR249W	NA
YHR206W	YGR279C	NA
YHR206W	YHR004C	NA
YHR206W	YIL113W	NA
YHR206W	YIL114C	NA
YHR206W	YIL118W	NA
YHR206W	YIL119C	NA
YHR206W	YJL105W	NA
YHR206W	YJL115W	NA
YHR206W	YJL116C	NA
YHR206W	YJR148W	NA
YHR206W	YKL062W	NA
YHR206W	YKL063C	NA
YHR206W	YKL086W	NA
YHR206W	YKL087C	NA
YHR206W	YKL109W	NA
YHR206W	YKL110C	NA
YHR206W	YKR042W	NA
YHR206W	YKR052C	NA
YHR206W	YKR075C	NA
YHR206W	YKR076W	NA
YHR206W	YLL019C	NA
YHR206W	YLR110C	NA
YHR206W	YLR113W	NA
YHR206W	YLR257W	NA
YHR206W	YLR295C	NA
YHR206W	YLR297W	NA
YHR206W	YML028W	NA
